radius_meters,radius_in_Schwarzschild_radii,earth_years_per_1s_near_blackhole
68469.53993039954,2.3177591973244147,1.3262216964835285
68863.7528051377,2.331103678929766,1.32335040008572
69257.96567987587,2.344448160535117,1.320530043961477
69652.17855461403,2.3577926421404682,1.31775926566293
70046.3914293522,2.3711371237458194,1.3150367514568821
70440.60430409035,2.38448160535117,1.312361234146204
70834.81717882851,2.3978260869565218,1.3097314910080242
71229.03005356668,2.411170568561873,1.3071463418414289
71623.24292830484,2.424515050167224,1.3046046471178996
72017.455803043,2.4378595317725753,1.302105306228198
72411.66867778117,2.4512040133779265,1.2996472558198424
72805.88155251932,2.464548494983277,1.2972294682197245
73200.09442725749,2.4778929765886284,1.2948509499367946
73594.30730199565,2.49123745819398,1.2925107402400786
73988.52017673381,2.504581939799331,1.2902079098076222
74382.73305147198,2.5179264214046824,1.2879415594422334
74776.94592621014,2.5312709030100335,1.2857108188501876
75171.15880094831,2.5446153846153847,1.2835148454792944
75565.37167568646,2.5579598662207355,1.2813528234129716
75959.58455042462,2.5713043478260866,1.2792239623171793
76353.79742516279,2.584648829431438,1.2771274964372736
76748.01029990095,2.5979933110367894,1.2750626836420271
77142.22317463912,2.6113377926421406,1.2730288045122276
77536.43604937728,2.624682274247492,1.2710251614714396
77930.64892411545,2.638026755852843,1.2690510779566566
78324.8617988536,2.6513712374581937,1.2671058976267093
78719.07467359176,2.664715719063545,1.2651889836064318
79113.28754832993,2.678060200668896,1.2632997177647007
79507.5004230681,2.6914046822742472,1.2614375000245845
79901.71329780626,2.704749163879599,1.2596017477039332
80295.92617254442,2.71809364548495,1.25779189488485
80690.13904728259,2.731438127090301,1.2560073918105694
81084.35192202074,2.744782608695652,1.254247704308352
81478.5647967589,2.758127090301003,1.2525123132370921
81872.77767149707,2.7714715719063543,1.2508007139584043
82266.99054623523,2.7848160535117055,1.2491124158300282
82661.2034209734,2.798160535117057,1.2474469417204486
83055.41629571156,2.8115050167224083,1.2458038275437053
83449.62917044973,2.8248494983277594,1.2441826218134073
83843.84204518788,2.83819397993311,1.2425828852150296
84238.05491992604,2.8515384615384614,1.241004190195622
84632.2677946642,2.8648829431438125,1.2394461205700995
85026.48066940237,2.8782274247491637,1.2379082711433411
85420.69354414054,2.891571906354515,1.2363902473473471
85814.9064188787,2.9049163879598665,1.234891664892767
86209.11929361687,2.9182608695652177,1.233412149434127
